gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
2.169589053725810457e-19,3.543207813446885412e-03,2.214041970068620843e-03
